"Item","Category","Vendor","Par","Bottle size","Case pack","Vendor item #","VOLUME (high volume / slow mover)","BUY (bottle / case / rule)","NOTES"
"amaro nonino","Spirits","Southern","2 bottles","","","","","",""
"Ancho Reyes Chile","Spirits","Southern","6 bottles","750 ml","6/case","430016","","",""
"Aperol","Spirits","Southern","6 bottles","1 L","6/case","557367","","",""
"Apple Pucker","Spirits","Southern","3 bottles","","","","","",""
"Appleton Estate","Spirits","Southern","3 bottles","750 ml","12/case","964124","","",""
"Bacardi","Spirits","Southern","6 bottles","","12/case","28728","","",""
"Banana Liquer","Spirits","Southern","6 bottles","","6/case","574614","","",""
"Beefeater","Spirits","Southern","12 bottles","1 L","12/case","600814","","",""
"Blue Curacao","Spirits","Southern","3 bottles","","","","","",""
"Bombay Sapphire","Spirits","Southern","3 bottles","","","","","",""
"Buffalo Trace","Spirits","Gate City","12 bottles","1 L","12/case","323333CW","","",""
"Bulleit Rye Whiskey","Spirits","Southern","6 bottles","","12/case","443649","","",""
"Campari","Spirits","Southern","3 bottles","","","","","",""
"Captain Morgan","Spirits","Southern","3 bottles","","12/case","597191","","",""
"Chambord","Spirits","Southern","2 bottles","","","","","",""
"Cherry Heering","Spirits","Southern","2 bottles","","","","","",""
"Cointreau","Spirits","Southern","4 bottles","","6/case","233901","","",""
"Corazon Reposado","Spirits","Southern","18 bottles","1 L","12/case","624592","","",""
"Coruba Dark Rum","Spirits","Southern","3 bottles","1 L","12/case","363239","","",""
"Crown Royal","Spirits","Southern","3 bottles","","12/case","631498","","",""
"De La Familia Anejo","Spirits","—","2 bottles","","","","","",""
"De La Familia Platino","Spirits","—","2 bottles","","","","","",""
"De La Familia Repo","Spirits","—","2 bottles","","","","","",""
"Del Maguey Mezcal","Spirits","Southern","6 bottles","750 ml","6/case","564994","","",""
"Don Julio 1942","Spirits","Southern","2 bottles","","","","","",""
"Don Julio 70","Spirits","Southern","3 bottles","","6/case","624006","","",""
"Don Julio Blanco","Spirits","Southern","6 bottles","","6/case","971835","","",""
"Eagle Rare 10","Spirits","Gate City","1 bottle","750 ml","6/case","323455BW","","",""
"Eagle Rare 12","Spirits","Gate City","1 bottle","750 ml","6/case","121879BW","","",""
"El Tosoro Blanco","Spirits","Southern","6 bottles","","6/case","893113","","",""
"El Tosoro Reposado","Spirits","Southern","6 bottles","","6/case","911824","","",""
"Glenfiddich","Spirits","Southern","2 bottles","","","","","",""
"Glenlivet","Spirits","Southern","2 bottles","","","","","",""
"Gran Marnier","Spirits","Southern","4 bottles","","6/case","991348","","",""
"Grapefruit Liquer","Spirits","Southern","6 bottles","","","","","",""
"Grey Goose","Spirits","Southern","6 bottles","","6/case","17098","","",""
"Hendrick's","Spirits","Gate City","3 bottles","","6/case","122468BW","","",""
"Herradura Silver","Spirits","Gate City","6 bottles","","6/case","121738CW","","",""
"Herradura Ultra","Spirits","Gate City","3 bottles","","6/case","121743BW","","",""
"Irish Cream","Spirits","Gate City","3 bottles","750 ml","","323870BW","","",""
"Italicus","Spirits","Southern","2 bottles","","","","","",""
"Jack Daniel's","Spirits","Gate City","12 bottles","1 L","12/case","121750CW","","",""
"Jaegermeister","Spirits","Southern","2 bottles","","","","","",""
"Jameson","Spirits","Southern","8 bottles","1 L","12/case","24601","","",""
"Kahlua","Spirits","Southern","2 bottles","1 L","6/case","613367","","",""
"Kettle One","Spirits","Southern","12 bottles","1 L","12/case","36126","","",""
"Knob Creek","Spirits","Southern","2 bottles","","","","","",""
"Laelia Blanco","Spirits","—","6 bottles","","","","","",""
"Laelia Reposado","Spirits","—","6 bottles","","","","","",""
"Licor 43","Spirits","Southern","3 bottles","1 L","12/case","341848","","",""
"Luxardo Amaretto","Spirits","Southern","8 bottles","750 ml","6/case","651298","","",""
"Macallan 12","Spirits","Southern","2 bottles","","","","","",""
"Maker's Mark","Spirits","Southern","8 bottles","1 L","12/case","9998","","",""
"Meyer's","Spirits","Gate City","2 bottles","","","","","",""
"midori","Spirits","Southern","2 btl","1 L","6/case","284690","","",""
"Mijenta Repo","Spirits","Gate City","3 bottles","","","122097BW","","",""
"Mr Black Coffee Liqueur","Spirits","Southern","6 bottles","","6/case","636668","","",""
"Old Forester","Spirits","Gate City","12 bottles","1 L","12/case","121836CW","","",""
"Orgeat Syrup","Spirits","Southern","6 bottles","750 ml","6/case","981526","","",""
"Patron Anejo","Spirits","Southern","3 bottles","","","","","",""
"Patron Reposado","Spirits","Southern","6 bottles","","12/case","43177","","",""
"Patron Silver","Spirits","Southern","6 bottles","","12/case","118695","","",""
"Peach Schnapps","Spirits","Southern","8 bottles","1 L","12/case","25213","","",""
"Pear Liquer","Spirits","Southern","6 bottles","750 ml","6/case","205941","","",""
"Pinnacle Citrus","Spirits","Southern","1 case","","12/case","606162","","",""
"Planteray OFTD","Spirits","Southern","3 bottles","","","","","",""
"Planteray White Rum","Spirits","Southern","6 bottles","1 L","6/case","618726","","",""
"Plantreray Cut and Dry","Spirits","Southern","6 bottles","","6/case","623350","","",""
"Pueblo Viejo Blanco","Spirits","Southern","12 bottles","1 L","12/case","624574","","",""
"Rittenhouse Rye","Spirits","Southern","6 bottles","1 L","12/case","653500","","",""
"Roku","Spirits","Southern","6 bottles","750 ml","6/case","923376","","",""
"St. Germain","Spirits","Southern","4 bottles","750 ml","6/case","175921","","",""
"Svedka Citrus","Spirits","Southern","6 bottles","1 L","12/case","666599","","",""
"Svedka Peach","Spirits","Southern","6 bottles","1 L","12/case","666380","","",""
"Svedka Water","Spirits","Southern","1 case","","3/case","697604","","",""
"Trader Vic's Macadamia","Spirits","Southern","6 bottles","750 ml","6/case","151682","","",""
"Triple Sec","Spirits","Southern","8 bottles","1 L","12/case","33497","","",""
"u4rik Anejo","Spirits","—","2 cases","","","","","",""
"Vermouth (Dry)","Spirits","Southern","3 bottles","","","","","",""
"Vermouth (Sweet)","Spirits","Southern","3 bottles","","","","","",""
"Watermelon Pucker","Spirits","Southern","3 bottles","","12/case","49357","","",""
"Well Vodka (Wheatley)","Spirits","Gate City","12 bottles","1 L","12/case","324073CW","","",""
"Athletic NA IPA","Beer/Wine","Gate City","0.5 cases","","24/case","57229","","",""
"Athletic NA Mexican Lager","Beer/Wine","Gate City","0.5 cases","","24/case","12562","","",""
"Caymus California","Beer/Wine","Southern","12 bottles","750 ml","12/case","685530","","",""
"Chalk Hill Chardonnay","Beer/Wine","Southern","6 bottles","750 ml","6/case","681087","","",""
