Vendor,Item Number,Vendor Description,Pack,Inventory Item,Status,Note
Southern (Proof),334995,ANGOSTURA BITTERS,6.7 Z  •  12 Case  •  SCREW CAP  •  GLASS,Angostura Bitters,mapped,
Southern (Proof),636668,MR BLACK COFFEE LIQUEUR 50,750ML  •  6 Case  •  SCREW CAP,Mr Black Coffee Liqueur,mapped,
Southern (Proof),510365,SYCAMORE LANE CHARDONNAY(SC),750ML  •  12 Case  •  SCREW CAP,Sycamore Lane Chardonnay,mapped,
Southern (Proof),363239,CORUBA RUM DARK 80,1.0L  •  12 Case  •  SCREW CAP  •  GLASS,Coruba Dark Rum,mapped,
Southern (Proof),661189,JUSTIN CABERNET SAUVIGNON 22,750ML  •  12 Case  •  NATURAL CORK,Justin Cabernet Sauvignon,mapped,
Southern (Proof),510839,SEAGLASS PINOT NOIR(SC),750ML  •  12 Case  •  SCREW CAP,Seaglass Pinot Noir,mapped,
Southern (Proof),289347,SEAGLASS RIESLING(SC),750ML  •  12 Case  •  SCREW CAP  •  GLASS,Seaglass Riesling,mapped,
Southern (Proof),175921,ST GERMAIN LIQUEUR 40,750ML  •  6 Case  •  ALTERNATIVE  •  GLASS,St. Germain,mapped,
Southern (Proof),17098,GREY GOOSE VODKA 80,1.0L  •  6 Case  •  ALTERNATIVE  •  GLASS,Grey Goose,mapped,
Southern (Proof),443649,BULLEIT 95 RYE 90,1.0L  •  12 Case  •  ALTERNATIVE  •  GLASS,Bulleit Rye Whiskey,mapped,
Southern (Proof),697655,JUSTIN CABERNET SAUVIGNON 23,750ML  •  12 Case  •  NATURAL CORK,Justin Cabernet Sauvignon,mapped,
Southern (Proof),613367,KAHLUA 40,1.0L  •  6 Case  •  SCREW CAP,Kahlua,mapped,
Southern (Proof),233901,COINTREAU 80,1.0L  •  6 Case  •  SCREW CAP,Cointreau,mapped,
Southern (Proof),600814,BEEFEATER GIN 80,1.0L  •  12 Case  •  SCREW CAP,Beefeater,mapped,
Southern (Proof),698471,CONUNDRUM WHITE(SC)24,750ML  •  12 Case  •  SCREW CAP,Conundrum White,mapped,
Southern (Proof),341848,LICOR 43 62,1.0L  •  12 Case  •  SCREW CAP  •  GLASS,Licor 43,mapped,
Gate City (SipMarket),10222,COORS LIGHT B24 12OZ 12P,"24 - 12oz Bottles, 12 Pack",Coors Light Bottles,mapped,
Gate City (SipMarket),26307,COORS BANQUET B24 12OZ 12P,"24 - 12oz Stubby Bottles, 12 Pack",Coors Banquet Bottles,mapped,
Gate City (SipMarket),323333CW,BUFFALO TRACE BOURBON B12 1L,12 - 1 Liter Bottles Case,Buffalo Trace,mapped,
Gate City (SipMarket),121738CW,HERRADURA SILVER B6 1L,6 - 1 Liter Bottles Case,Herradura Silver,mapped,
Gate City (SipMarket),70206,HIGH NOON VODKA WATERMELON C24 475ML,C24 475ML,High Noon Watermelon,mapped,
Gate City (SipMarket),21238,COORS BANQUET B24 12OZ 6P,"24 - 12oz Bottles, 6 Pack Stubby",Coors Banquet Bottles,mapped,
Gate City (SipMarket),10215,COORS BANQUET C12 24OZ,12 - 24oz Cans,Coors Banquet Bottles,mapped,
Gate City (SipMarket),10232,COORS LIGHT C24 16OZ 6P,"24 - 16oz Cans, 6 Pack",Coors Light Bottles,mapped,
Southern (Proof),991348,GRAND MARNIER 80,1.0L  •  6 Case  •  ALTERNATIVE,Gran Marnier,mapped,
Gate City (SipMarket),121750CW,JACK DANIELS B12 1L,12 - 1 Liter Bottles Case,Jack Daniel's,mapped,
Gate City (SipMarket),121750BW,JACK DANIELS B12 1L,1 Liter Bottle,Jack Daniel's,mapped,
Southern (Proof),557367,APEROL APERITIVO 22,1.0L  •  6 Case  •  SCREW CAP,Aperol,mapped,
Southern (Proof),28728,BACARDI RUM SUPERIOR WHITE 80,1.0L  •  12 Case  •  SCREW CAP  •  GLASS,Bacardi,mapped,
